id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-5-cau1,1. Chu kỳ ngược dòng là đặc trưng của .,Ancylostoma duodenale,Necator americanus,Trichuris trichiura,Ascaris lumbricoides,Enterobius vermicularis,E,Chu kỳ ngược dòng là đặc trưng của giun kim (Enterobius vermicularis).
Chuong3-5-cau2,2. Đường lây nhiễm giun kim phổ biến nhất ở trẻ em .,Ấu trùng chui qua da.,Uống nước lả.,Nhiễm trứng giun qua áo quần chăn chiếu đồ chơi.,Ăn rau quả sống,Ăn thịt lợn sống.,C,"Lây nhiễm phổ biến qua trứng giun bám trên áo quần, chăn chiếu, đồ chơi do vệ sinh cá nhân kém."
Chuong3-5-cau3,3. Chẩn đoán xét nghiệm trứng giun kim phải dùng kỹ thuật.,Cấy phân.,Xét nghiệm dịch tá tràng,Xét nghiệm phong phú,Giấy bóng kính dính,Phương pháp Kato.,D,Chẩn đoán trứng giun kim sử dụng kỹ thuật Giấy bóng kính dính (Graham) vì giun cái đẻ trứng ở hậu môn.
Chuong3-5-cau4,4. Chu kỳ ngược dòng của giun kim.,Giun kim từ ruột già lên sống ở ruột non.,Ấu trùng giun kim từ ruột già lên sống ở ruột non.,Trứng giun kim theo gió bụi vào miệng.,Ấu trùng giun kim nở ra ở hậu môn đi lên manh tràng.,Giun kim ở ngoại cảnh vào hậu môn lên ruột già.,D,Chu kỳ ngược dòng xảy ra khi ấu trùng nở ra ở hậu môn và bò ngược lên manh tràng (ruột già).
Chuong3-5-cau5,5. Phòng bệnh giun kim không cần làm điều này.,"Ăn chín, uống sôi.",Không mặc quần không đáy cho trẻ em.,Cắt móng tay.,Không ăn thịt bò tái.,Tẩy giun kim cho tập thể.,D,"Ăn thịt bò tái là đường lây sán, không liên quan đến chu trình lây nhiễm giun kim."
Chuong3-5-cau6,6. Giun kim sống ở,Ruột già.,Ruột non.,Tá tràng.,Vùng hồi manh tràng.,Trực tràng.,D,Giun kim trưởng thành ký sinh chủ yếu ở vùng hồi manh tràng (đầu ruột già).
Chuong3-5-cau7,7. Giun kim không gây tác hại nầy.,Tắt ruột.,Rối loạn tiêu hoá.,Ngứa hậu môn.,Giun kim lạc chỗ vào cơ quan sinh dục.,Dị ứng.,A,Giun kim hiếm khi gây tắc ruột (tác hại chính của giun đũa).
Chuong3-5-cau8,8. Thuốc điều trị giun kim.,Mebendazole.,Niclosamide.,Praziquantel.,Fansidar,Quinacrine,A,Mebendazole là một trong những thuốc điều trị giun kim phổ biến.
Chuong3-5-cau9,9. Tuổi thọ của giun kim.,1 năm.,6 tháng.,3-4 tháng.,1-2 tháng,2 năm.,D,Tuổi thọ của giun kim trưởng thành là khoảng 1–2 tháng (4–8 tuần).
Chuong3-5-cau10,10. Giun kim cái thường đẻ trứng ở.,Tá tràng.,Trực tràng.,Ruột non.,Ruột già.,Hậu môn.,E,Giun kim cái thường đẻ trứng ở rìa hậu môn (thường vào ban đêm).
Chuong3-5-cau11,"11. Để chẩn đoán bệnh giun kim, người ta dùng kỹ thật giấy bóng kính dính vào",Bất kỳ thời điểm nào,Buổi sáng sau khi trẻ thức đậy,Buổi sáng sau khi trẻ đã làm vệ sinh thân thể,Buổi trưa,Buổi chiều,B,"Trứng giun kim được đẻ ở hậu môn vào ban đêm, nên lấy mẫu vào buổi sáng ngay sau khi trẻ thức dậy (trước khi vệ sinh)."
Chuong3-5-cau12,12. Vị trí ký sinh bình thường của giun kim là.,Dạ dày,Tá tràng,Hỗng tràng,Hồi tràng,Manh tràng,E,Giun kim trưởng thành ký sinh chủ yếu ở Manh tràng (đầu ruột già).
Chuong3-5-cau13,13. Giun kim chủ yếu đẻ trứng .,"Vào ban đêm, ở rìa hậu môn nên thường gây ngứa hậu môn","Đẻ ban ngày, sau khi đẻ, giun cái chết",Tuỳ theo lúc mà có thể đẻ ban đêm hoặc ban ngày,Vào ban đêm ngay trong lòng ruột,Vào ban ngày ngay trong lòng ruột,A,"Giun kim đẻ trứng vào ban đêm ở rìa hậu môn, gây ngứa đặc trưng."
Chuong3-5-cau14,14. Bệnh giun kim lây lan do,Khí hậu nóng ẩm,"Không ăn chín, uống sôi",Không có hố xí hợp vệ sinh,Do ý thức vệ sinh kém,. Do ý thức vệ sinh cá nhân kém,E,Giun kim lây lan chủ yếu do ý thức vệ sinh cá nhân kém (lây nhiễm qua đường tay-miệng).
Chuong3-5-cau15,15. Độ tuổi nhiễm giun kim nhiều nhất là,Trẻ tuổi cấp một,"Tre ítuổi nhà trẻ, mẫu giáo",Học sinh cấp 2,Người độ tuổi lao động,Người già,B,"Độ tuổi nhiễm giun kim nhiều nhất là trẻ nhỏ (nhà trẻ, mẫu giáo) do thói quen mút tay và vệ sinh kém."
Chuong3-5-cau16,16. Phương pháp xét nghiệm để chẩn đoán giun kim là.,Xét nghiệm phân trực tiếp,Kỹ thuật KaTo,Kỹ thuật Willis,Kỹ thuật giấy bóng kính dính,Cấy phân,D,Chẩn đoán giun kim sử dụng kỹ thuật giấy bóng kính dính.
Chuong3-5-cau17,17. Trứng giun kim có đặc điểm sau ngoại trừ,Có kích thước 50-30(m,"Vỏ dày, trong suốt, hình bầu dục hơi lép một bên",Trứng đẻ ra có phôi bào phân chia 2-8 thuỳ,Trứng đẻ ra đã có sẵn ấu trùng bên trong trứng,Trứng giun kim đề kháng với ngoại cảnh yếu.,C,"Trứng giun kim khi đẻ ra đã chứa ấu trùng hoàn chỉnh hoặc phát triển thành ấu trùng gây nhiễm rất nhanh, không phải ở giai đoạn phôi bào phân chia 2-8 thùy."
Chuong3-5-cau18,18. Nhiễm giun kim có đặc điểm sau ngoại trừ.,"Phát tán ra ngoài qua động tác gãi hậu môn, giũ quần áo, chăn chiếu",Trẻ tuổi nhà trẻ mẫu giáo tỷ lệ nhiễm cao,Dễ dàng gây tái nhiễm,Có thể dự phòng không cần điều trị,Tẩy giun định kỳ,D,Bệnh giun kim cần phải được điều trị (tẩy giun) kết hợp với vệ sinh cá nhân.
Chuong3-5-cau19,"19. Giun kim cái sau khi đẻ hết trứng, tử cung lộn ra ngoài và chết",Đúng,Sai,,,,A,Giun kim cái chết sau khi đẻ hết trứng.
Chuong3-5-cau20,20. Thời gian người nuốt phải trứng giun kim vào ruột đến khi phát triễn thành giun trưởng thành cần khoảng thời gian 3-4 tuần.,Đúng,Sai,,,,A,Thời gian từ khi nuốt trứng gây nhiễm đến khi giun kim trưởng thành có thể đẻ trứng là khoảng 3-4 tuần.
Chuong3-5-cau21,"21. Ở các bé gái, viêm âm hộ, âm đạo thường do",Giun đũa,Giun móc,Giun kim,Giun tóc,Giun mỏ,C,"Giun kim cái có thể lạc chỗ từ hậu môn vào âm hộ, âm đạo gây viêm."
Chuong3-5-cau22,"22. Giải quyết tốt khâu “xử lý phân hợp vệ sinh” là có thể phòng ngừa các ký sinh trùng sau, ngoại trừ.",Giun đũa,Giun móc,Giun tóc,Giun kim,Amip lỵ,D,"Trứng giun kim đẻ ở hậu môn, không dính vào phân; lây nhiễm chủ yếu qua đường tay-miệng/đồ vật."
