id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-2-cau1,1. Trứng Trichuris trichiura có đặc điểm.,"Hình bầu dục, có vỏ mỏng, bên trong phôi bào phân chia nhiều thuỳ.","Hình bầu dục, vỏ dày, xù xì, bên ngoài là lớp albumin.","Hình cầu, vỏ dày, có tia.","Hình bầu dục, hơi lép một bên, bên trong có sẵn ấu trùng.","Hình giống như trái cau, vỏ dày, hai đầu có nút.",E,"Trứng giun tóc có hình giống như trái cau (hình thùng), vỏ dày, hai đầu có nút nhầy."
Chuong3-2-cau2,2. Trichuris trichiura trưởng thành có dạng.,"Giống như sợi tóc, thon dài, mảnh.",Giống như sợi chỉ rối.,"Giống như cái roi của người luyện võ, phần đuôi to, phần đầu nhỏ.","Giống như cái roi, phần đầu to, phần đuôi nhỏ.",Giống như cái kim may với phần đuôi nhọn như mũi kim.,C,"Giun tóc có phần đầu mảnh như sợi tóc (chiếm 3/5 cơ thể) và phần đuôi phình to, giống hình cái roi."
Chuong3-2-cau3,"3. Khi nhiễm nhiều Trichuris trichiura, triệu chứng lâm sàng thường thấy.",Đau bụng và có cảm giác nóng rát ở vùng thượng vị.,Tiêu chảy giống lỵ.,Sa trực tràng.,Đau vùng hố chậu phải do giun chui ruột thừa.,Ói ra giun.,B,"Nhiễm giun tóc nặng thường gây hội chứng giống lỵ (tiêu chảy, đau quặn, phân có nhầy, máu)."
Chuong3-2-cau4,4. Phát hiện người nhiễm Trichuris trichiura ở mức độ nhẹ nhờ vào.,Người bệnh có biểu hiện hội chứng lỵ trên lâm sàng.,Xét nghiệm máu thấy bạch cầu toan tính tăng cao.,Tình cờ xét nghiệm phân kiểm tra sức khoẻ thấy trứng trong phân.,Người bệnh có biểu hiện thiếu máu.,Người bệnh có biểu hiện sa trực tràng.,C,"Nhiễm giun tóc nhẹ thường không có triệu chứng, được phát hiện tình cờ qua xét nghiệm phân tìm trứng."
Chuong3-2-cau5,5. Chẩn đoán xác định người bệnh Trichuris trichiura dựa vào.,"Xét nghiệm máu thấy hồng cầu giảm, bạch cầu toan tính tăng.",Xét nghiệm phân bằng kỹ thuật trực tiếp và phong phú.,Xét nghiệm phân bằng kỹ thuật Graham.,Cấy phân bằng kỹ thuật cấy trên giấy thấm.,Đau bụng và tiêu chảy giống lỵ.,B,Chẩn đoán xác định bệnh giun tóc dựa vào việc tìm thấy trứng giun tóc trong phân bằng kỹ thuật trực tiếp hoặc phong phú (Kato-Katz).
Chuong3-2-cau6,6. Người bị nhiễm Trichuris trichiura do.,Nuốt phải ấu trùng có trong rau sống.,Nuốt phải trứng giun mới đẻ có trong nước uống.,Nuốt phải trứng giun còn đủ 2 nút nhầy.,Nuốt phải trứng giun đã có ấu trùng trong trứng.,Nuốt phải trứng giun đã thụ tinh.,D,Người bị nhiễm giun tóc do nuốt phải trứng giun đã có ấu trùng (trứng gây nhiễm).
Chuong3-2-cau7,7. Đường xâm nhập của giun tóc vào cơ thể là.,Đường tiêu hoá.,Da.,Máu,Hô hấp,Sinh dục,A,Giun tóc xâm nhập vào cơ thể qua đường tiêu hoá (nuốt trứng gây nhiễm).
Chuong3-2-cau8,8. Giun tóc trửơng thành ký sinh ở.,Ruột già,Ruột non,Đường mật,Đường bạch huyết,Tá tràng.,A,Giun tóc trưởng thành ký sinh chủ yếu ở Ruột già (đặc biệt là Manh tràng).
Chuong3-2-cau9,9. Người bị nhiễm giun tóc có thể do.,Ăn thịt bò tái.,Ăn tôm cua sống,Ăn thịt lợn tái.,Ăn cá gỏi.,"Ăn rau sống, trái cây",E,Nhiễm giun tóc do nuốt phải trứng gây nhiễm có trong rau quả không sạch.
Chuong3-2-cau10,10. Giun tóc có chu kỳ thuộc kiểu chu kỳ.,Đơn giản,Phức tạp,Phải có điều kiện yếm khí,Cần môi trường nước.,Cần có 2 vật chủ.,A,"Giun tóc có chu kỳ phát triển trực tiếp (đơn giản), không cần vật chủ trung gian."
