id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong2-5-cau127,127. Plasmodium là một đơn bào thuộc lớp,Chân giả,Trùng roi,Trùng bào tử,Trùng long,,C,[Không tìm thấy]
Chuong2-5-cau128,128. Thoa trùng trong bệnh sốt rét có đặc điểm,Được tiêm vào người khi muỗi bị nhiễm đốt,Có thể truyền trực tiếp từ máu người bị nhiễm sốt rét,Là nguyên nhân chính của sốt rét do truyền máu,Thỉnh thoảng tìm thấy trong phết máu,,A,[Không tìm thấy]
Chuong2-5-cau129,129. Thể tư dưỡng của KST sốt rét của người có đặc điểm,Gây nhiễm cho muỗi,Phát triển thành thể phân liệt,Thường có không bào,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau130,130. Giao bào của KST sốt rét,Gây bệnh sốt rét do truyền máu,Gây nhiễm cho muỗi,Có thể luân lưu trong máu cả tuần sau khi được tạo ra,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau131,131. Chu trình phát triển của KST sốt rét ở muỗi tùy thuộc vào,Số lượng giao bào được muỗi hút vào dạ dày,Loài muỗi Anopheles,Nhiệt độ của môi trường bên ngoài,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau132,132. Chu trình liệt sinh của KST sốt rét ở muỗi tùy thuộc vào,Là nguyên nhân chính lỵ giải hồng cầu,Là nguyên nhân gây ra sốt có tính chu kỳ của bệnh sốt rét,Chỉ xảy ra trong các mạch máu nội tạng sâu đối với P. falciparum,"Cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau133,133. Bệnh sốt rét là,Bệnh động vật truyền sang người,Bệnh cơ hội,Do muỗi Anopheles truyền,Chỉ phổ biến ở Đông Nam Á,,C,[Không tìm thấy]
Chuong2-5-cau134,134. P. falciparum có những đặc điểm sau,Phổ biến nhất ở Việt Nam,Sinh sản trong mạch máu nội tạng,Giao bào hình liềm,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau135,135. P. falciparum không có đặc điểm sau,Hồng cầu bị ký sinh có kích thước bình thường,Có thể có từ 1- 3 KST trong một hồng cầu,Không có thể ngủ trong gan,Gặp tất cả các dạng phát triển ở máu ngoại biên,,B,[Không tìm thấy]
Chuong2-5-cau136,136. P. Vivax có những đặc điểm sau,Một hồng cầu có thể bị nhiễm nhiều KST,Hồng cầu bị ký sinh to hơn hồng cầu bình thường,Có thể ngủ ở gan,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau137,"137. Xét nghiệm máu bệnh nhân (nhiễm KST sốt rét) mới có cơn sốt đầu tiên, sẽ thấy",Thể tư dưỡng non,Thể phân liệt,Thể giao bào,"Cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau138,138. Giao bào của KST sốt rét có đặc điểm sau,Sống ngoài hồng cầu,"Tác nhân gây nhiễm cho muỗi, gây dịch trong thiên nhiên",Xuất hiện trong máu ngoại vi cùng lúc với cơn sốt,Cả A và C,,B,[Không tìm thấy]
Chuong2-5-cau139,139. Cơn sốt đầu tiên xuất hiện ngay sau khi (bệnh nhân nhiễm KST sốt rét),"Muỗi đốt, truyền thoa trùng vào người",Giai đoạn phát triển ở gan chấm dứt,Khi mật độ KST trong máu đạt tới ngưỡng gây sốt,Giai đoạn sinh sản trong hồng cầu bắt đầu,,C,[Không tìm thấy]
Chuong2-5-cau140,140. Chu trình phát triển của KST sốt rét ở muỗi tùy thuộc vào,Số lượng giao bào được muỗi hút vào dạ dày,Loài muỗi Anopheles,Nhiệt độ của môi trường bên ngoài,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau141,141. Sốt rét do P.falciparum,Hiếm khi có sốt,Kháng với Quinin,Có thể truyền từ mẹ sang con,"Cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau142,"142. Một người bị sốt rét, sau khi được điều trị khỏi, trở thành nguồn bệnh do",KST sốt rét kháng thuốc,Điều trị không tiệt căn,Tái phát,Cả B và C,,D,[Không tìm thấy]
Chuong2-5-cau143,"143. Ở Việt Nam, loại Plasmodium nào chiếm ưu thế",P.falciparum,P.vinax,P.ovale,P.malariae,,A,[Không tìm thấy]
Chuong2-5-cau144,"144. Tiền miễn nhiễm đối với KST sốt rét là miễn dịch thu được, có đặc điểm sau",Toàn diện,Bền vững,Không ổn định,Ngăn ngừa tái nhiễm,,C,[Không tìm thấy]
Chuong2-5-cau145,145. Đánh giá mức độ lưu hành của bệnh sốt rét dựa vào,Chỉ số giao bào,Chỉ số lách,Chỉ số thoa trùng,Cả A và C,,B,[Không tìm thấy]
Chuong2-5-cau146,146. Cơn sốt rét điển hình xuất hiện theo thứ tự sau,"Sốt, rét, đổ mồ hôi","Sőt, do mo hôi, rét","Rét, sốt, đổ mồ hôi","Rét, đổ mồ hôi, sốt",,C,[Không tìm thấy]
Chuong2-5-cau147,147. Bệnh sốt rét do P. vivax có đặc điểm,"Tự giới hạn, tái phát xạ",Không điều trị sẽ tử vong,Tái phát gần,Cả B và C,,A,[Không tìm thấy]
Chuong2-5-cau148,148. Bệnh sốt nặng thế nào,Do P. falciparum,Không điều trị kịp thời chắc chắn sẽ tử vong,Thường gặp ở những người chưa có miễn dịch,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau149,149. Kỹ thuật chẩn đoán bệnh sốt rét có nhiều ưu điểm và được sử dụng rộng rãi là,Miễn dịch huỳnh quang,PCR,Phết máu,Miễn dịch men ELISA,,C,[Không tìm thấy]
Chuong2-5-cau150,150. Nhiễm KST sốt rét có thể do,Truyền máu,Qua nhau thai,Do muỗi Anopheles bị nhiễm đốt truyền,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau151,151. Thoa trùng trong bệnh sốt rét có đặc điểm,Được tiêm vào người khi muỗi bị nhiễm,Có thể truyền trực tiếp từ máu người bị nhiễm sốt rét,Là nguyên nhân chính của sốt rét do truyền máu,"Tất cả A, B và C",,A,[Không tìm thấy]
Chuong2-5-cau152,152. Tất cả các loài KST sốt rét gây bệnh cho người đều có thể gây,"Thiếu máu do huyết tán, lách ta, vàng da",Hôn mô kéo dài,Tái phát xạ,"Tất cả A, B và C",,A,[Không tìm thấy]
Chuong2-5-cau153,153. Tái phát trong sốt rét do,Loài P. vivax và P. ovale,Do sự tồn tại lâu dài của KST sốt rét trong máu giữa các cơn sốt,Do KST sőt rét tön tai trong gan,Cả A và C,,D,[Không tìm thấy]
Chuong2-5-cau154,154. Thế tư dưỡng của KST sốt rét ở người không có đặc điểm nào sau đây,Gây nhiễm cho muỗi,Phát triển thành thể phân liệt,Luôn luôn phá hủy hồng cầu,Thường có không bào,,A,[Không tìm thấy]
Chuong2-5-cau155,155. Giao bào của KST sốt rét,Gây nhiễm cho muỗi,Có thể luân lưu trong máu cả tuần sau khi được tạo ra,Xuất hiện trong máu muộn hơn thể tư dưỡng,"Cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau156,156. Các dấu hiệu lâm sàng sau đây được thấy trong tất cả các thế sốt rét ở người,"Rét run, nôn ói","Vàng da, thiếu PHÁU",Dấu hiệu thần kinh khu trú,Cả A và B,,D,[Không tìm thấy]
Chuong2-5-cau157,157. Lách trong sốt rét,Chỉ to ở giai đoạn muộn của bệnh sốt rét.,Là một nơi phá hủy KST sốt rét quan trọng,Không bao giờ to ra trong trường hợp nhiễm P. falciparum,"TẤT CẢ A, B VÀ C",,B,[Không tìm thấy]
Chuong2-5-cau158,"158. Trong cơn cấp tính, bệnh sốt rét được chẩn đoán bằng",Tìm kháng thể trong huyết thanh,Tim KST sốt rét trong máu,Tìm không thể trong huyết tương.,D CỦA VÀ Đ,,B,[Không tìm thấy]
Chuong2-5-cau159,159. Các yếu tố nào sau đây tạo ra đáp ứng miễn dịch với nhiễm sốt rét,Tình trạng dinh dưỡng tốt,Bị nhiễm tái đi tái lại với cùng 1 loài KST sốt rét,Không cáo nhóm máu Duffy,"TẤT CẢ A, B VÀ C",,B,[Không tìm thấy]
Chuong2-5-cau160,160. Các yếu tố giúp người có khả năng kháng lại KST sốt rét.,Kháng nguyên Duffy kháng P. vinax,Hồng cầu hình bầu dục kháng P. falciparum,Huyết sắc tố 5 kháng P. falciparum,"Tất cả A, B VÀ C",,D,[Không tìm thấy]
Chuong2-5-cau161,161. Các triệu chứng điển hình của sốt rét thế nào là,"Mật độp. falciparum trong máu cao, rối loạn ý thức, hôn mê",Suy dinh dưỡng năng,Nhiệt độ giảm nhẹ,"Tất cả A, B và C",,A,[Không tìm thấy]
Chuong2-5-cau162,162. Những thay đổi về máu thường gặp trong bệnh sốt rét do P. falciparum là,"Giảm bạch cầu, tiểu cầu",Tăng hồng cầu lưới.,Có nhiều đơn bào chứa sắc tố sốt rét,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau163,"163. Trong bệnh sốt rét mãn tính do bất kỳ loại KST sốt rét nào, bệnh nhân thường có",Gan to,"Lách to, sụt cân nhiều",Hach to,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau164,164. Làm phét máu để tìm KST sốt rét,Nhuộm bằng Giemsa,Giọt dày có nhiều khả năng tìm thấy KST sốt rét hơn phết máu mỏng,Nhuộm màu Giemsa với pH 72 là tốt nhất,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau165,"165. Trong xử lý bệnh sốt rét thể cấp do P. falciparum, các yếu tố nào quan trọng",Tính trạng miễn dịch của bệnh nhân,Đánh giá tình trạng tâm thần,Lượng nước tiểu,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau166,166. Tác dụng của Chloroquin gồm có,DIỆT các thế và tính của tất cả KST sốt rét của người,Chống viêm.,Diệt thế giao bào của P. vinax,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau167,167. Chỉ định dùng thuốc chống sốt rét dạng tiêm khi,Nôn ói không cầm được,"Tiêu chảy, thiếu máu nghiêm trọng",Sőt rét thé não,Cả A và C,,D,[Không tìm thấy]
Chuong2-5-cau168,168. Sự kháng thuốc do P.falciparum,Gặp ở Đông Nam Á,Xảy ra ở Nam Mỹ,Gặp ở Úc Châu,"TẤT CẢ A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau169,169. Sự kháng thuốc do P. falciparum,Có thể phát hiện bang thử nghiệm in vivo.,Có thể phát hiện bằng thử nghiệm in vitro,Thường có thể khắc phục bằng cách tăng liều điều trị,"Tất cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau170,170. Bệnh sốt rét P. vivax trong vùng dịch tế có thể gây ra,"Thiếu máu huyết tán nặng, suy yếu kéo dài, lách to",Sot rét thé não,"Gan to, than to",Cả B và C.,,A,[Không tìm thấy]
Chuong2-5-cau171,171. KST sốt rét cần mấy ký chủ,2 ký chủ,3 kỳ chủ,1 ký chủ,4 ký chủ,,A,[Không tìm thấy]
Chuong2-5-cau172,172. Véc tơ truyền bệnh sốt rét,Mubi Anopheles,Muỗi Aedes,Muỗi Culex,Cả B và C.,,A,[Không tìm thấy]
Chuong2-5-cau173,173. Các giai đoạn phát triển của KST sốt rét trong hồng cầu,"Thế tư lưỡng, phân biệt, giao bào.","Thế tư lưỡng, giao bào, phân biệt","Thể phân biệt, từ lưỡng, giao bào","Thể giao bào, tư lưởng, phân biệt.",,A,[Không tìm thấy]
Chuong2-5-cau174,174. Chu trình phát triển KST sốt rét bao gồm.,"Ở người, sinh sản vô tính ở gan và hồng cầu",Ở muỗi Anopheles sinh sản hữu tính,Sinh sản vô tính ở hồng cầu người,CỦA VÀ B,,D,[Không tìm thấy]
Chuong2-5-cau175,175. Sốt rét nặng ở thế nào.,Do P. falciparum,Không điều trị kịp thời chắc chắn sẽ tử vong,Thường gặp ở người chưa có miễn dịch,CỦA BV C,,D,[Không tìm thấy]
Chuong2-5-cau176,176. Vi tuần hoàn bị tác nghẽn trong sốt rét,Là nguyên nhân gây ra sốt rét thế nào,Do chu trình liệt sinh gây ra.,K. Là đặc điểm của P. falciparum,"Cả A, B và C",,A,[Không tìm thấy]
Chuong2-5-cau177,177. Sau khi bị bệnh sốt rét thể cấp,"Bệnh nhân có thể bị thiếu máu, huyết tán có thể tiếp tục xảy ra trong vài tuần",Trong máu có thể có thể giao bào,Có thể phát hiện được kháng thể trong máu,"Cả A, B và C",,A,[Không tìm thấy]
Chuong2-5-cau178,178. Protein niệu trong bệnh sốt rét,Có thể xảy ra trong cơn sốt rét với bất kỳ KST sốt rét nào,Có thể rất nặng trong trường hợp bệnh sốt rét do nhiễm P. falciparum,Có thể là dấu hiệu của viêm thận trong bệnh sốt rét P. falciparum,"Cả A, B và C",,D,[Không tìm thấy]
Chuong2-5-cau179,"179. Ở những người bệnh nhân không có miễn dịch sốt rét, bị nhiễm P. falciparum nếu không được điều trị, thì các trường hợp nào sau đây sẽ xảy ra",Hiếm khi đi đến tử vong trong cơn sốt rét đầu tiên,Bệnh nhân sẽ được hồi phục và có miễn dịch bền vững,Hồi phục sau giai đoạn cấp tính và có thể bị tái phát trong vòng 5 năm,Hồi phục sau giai đoạn cấp tính và sau đó có thể bị tái nhiễm,,D,[Không tìm thấy]
Chuong2-5-cau180,180. Đại huyết sắc tố,Thường do dung Quinin,Thường đưa đến tử vong,Thường kèm theo suy thận,Cả A và B,,D,[Không tìm thấy]
Chuong2-5-cau181,181. Hội chứng lách to nhiệt đới là,Là một biến chứng ít gặp của bệnh sốt rét do P. falciparum,Là một đáp ứng miễn dịch bất thường đối với P. falciparum,Thường hồi phục sau khi được điều trị chống sốt rét lâu dài,"Cả A, B và C",,B,[Không tìm thấy]
