id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-1-cau1,1. Giun hình ống (NEMATODA) là tên gọi để chỉ.,Các loại giun tròn ký sinh đường ruột,Các loại giun ký sinh ở người.,Các loại giun ký sinh ở người và thú.,"Các loại giun có thân tròn và dài, ký sinh hoặc không ký sinh.",Các loại giun ký sinh hoặc không ký sinh ở người.,D,"Giun hình ống có thân tròn, dài, ký sinh hoặc không ký sinh."
Chuong3-1-cau2,2. Hệ cơ quan nào không có trong cơ thể giun hình ống.,Tiêu hoá,Tuần Hoàn .,Thần kinh,Bài tiết,Sinh dục.,B,Giun hình ống không có hệ tuần hoàn.
Chuong3-1-cau3,3.Giun hình ống là loài.,Lưỡng tính vì có cơ quan sinh dục đực và cái riêng biệt trên mỗi cá thể.,Đơn tình vì có cơ quan sinh dục đực và cái riêng biệt trên mỗi cá thể.,Lưỡng tính vì không có con đực và cái riêng biệt .,Không phân biệt được lưỡng tính hay đơn tính.,"Có loài lưỡng tính, có loài đơn tính.",B,Giun hình ống (Nematoda) là loài đơn tính (có cơ quan sinh dục đực và cái riêng biệt trên mỗi cá thể).
Chuong3-1-cau4,4. Ý nghĩa của hiện tượng giun lạc chỗ trong ký chủ là.,Giúp chứng minh một chu trình mới của giun trong ký chủ.,Giúp cho chẩn đoán lâm sàng tốt hơn.,Giải thích được các định vị bất thường của giun trong chẩn đoán.,Giúp tìm ra một biện pháp tốt trong dự phòng.,Giúp cho xét nghiệm chọn được kỷ thuật phù hợp.,C,Giải thích được các định vị bất thường của giun trong chẩn đoán.
Chuong3-1-cau5,5. Hiện tượng lạc chủ của giun nói lên mối quan hệ giữa.,Người và thú.,Người bệnh và người không bệnh.,Người lành mang mầm bệnh với người không bệnh.,Sự định vị bình thường của giun và cơ quan ký sinh bất thường.,Sự chu du của giun trong cơ thể người bệnh.,D,Lạc chủ (lạc chỗ) thường dẫn đến sự định vị bất thường của giun trong cơ thể người.
Chuong3-1-cau6,6. Biểu hiện rối loạn tiêu hoá của các loại giun ký sinh đường ruột là yếu tố điển hình để chẩn đoán bệnh giun đường ruột.,Đúng vì giun ký sinh đường ruột sẽ gây nên các kích thích làm rối loạn nhu động ruột.,Sai vì không phải tất cả các loại giun đường ruột đều gây rối loạn tiêu hoá.,Đúng vì giun đường ruột hấp thu các chất dinh đưỡng trong ruột sẽ làm rối loạn hấp thu của ruột.,Sai vì không chỉ có giun ký sinh đường ruột mới biểu hiện lâm sàng bằng rối loạn tiêu hoá.,Đúng nếu kết hợp với yếu tố dịch tể.,B,Không phải tất cả các loại giun đường ruột đều gây rối loạn tiêu hoá (nhiều trường hợp nhiễm giun đũa không có triệu chứng lâm sàng).
Chuong3-1-cau7,7. Ascaris lumbricoides là loại giun.,"Có kích thước rất nhỏ, khó quan sát bằng mắt thường.","có kích thước to, hình giống chiếc đũa ăn cơm.",Hình dáng giống cây roi của người luyện võ.,Kích thước nhỏ như cây kim may,Giun đực và cái thường cuộn vào nhau như đám chỉ rối.,B,"Giun đũa có kích thước lớn, thân hình ống dài giống chiếc đũa ăn cơm."
Chuong3-1-cau8,8. Người bị nhiễm Ascaris lumbricoides khi.,"Nuốt phải trứng giun đũa có ấu trùng giun có trong thức ăn, thức uống.",Ấu trùng chui qua da vào máu đến ruột ký sinh.,Ăn phải thịt heo có chứa ấu trùng còn sống.,Muỗi hút máu truyền ấu trùng qua da.,Nuốt phải ấu trùng có trong rau sống.,A,"Nhiễm do nuốt phải trứng giun đũa có ấu trùng (trứng gây nhiễm) có trong thức ăn, thức uống."
Chuong3-1-cau9,9. Một trứng Ascaris lumbricoides có mang tính chất gây nhiễm khi.,Trứng giun đã thụ tinh.,Trứng giun phải còn lớp vỏ albumin bên ngoài.,Trứng giun phải có ấu trùng đã phát triển hoàn chỉnh bên trong trứng.,Trứng giun phải ở ngoại cảnh ít nhất trên 30 ngày.,Trứng giun phải ở ngoại cảnh ít nhất 20 ngày.,C,Trứng giun đũa có tính gây nhiễm khi có ấu trùng đã phát triển hoàn chỉnh bên trong trứng.
Chuong3-1-cau10,"10. Định vị lạc chổ của Ascaris lumbricoides trưởng thành có thể gặp ở các cơ quan sau đây, ngoại trừ.",Ruột thừa,Ống mật chủ,Gan.,Ống tuỵ,Lách.,E,"Giun đũa trưởng thành có thể lạc chỗ ở ruột thừa, ống mật chủ, gan, ống tụy, ngoại trừ Lách."
