id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-7-cau1,1. Các loài giun chỉ ký sinh ở hệ bạch huyết người do muỗi truyền là.,"Wuchereria bancrofti, Brugia malayi, Brugia timori","Wuchereria bancrofti, Loa loa, Orchocerca volvalus","Brugia malayi, Brugia timori, Loa loa","Brugia malayi, Dracunculus medinensis, Loa loa","Wuchereria bancrofti, Brugia timori, Dracunculus medinensis.",A,"Wuchereria bancrofti, Brugia malayi và Brugia timori là các loài giun chỉ ký sinh hệ bạch huyết ở người do muỗi truyền."
Chuong3-7-cau2,2. Kích thước của ấu trùng giun chỉ Wuchereria bancrofti là.,(10-20)m x 40m,(25-30)m x 40m,(127-320)m x (4-10)m,(12-30)m x (4-10)m,(127-320)m x (15-20)m,C,Kích thước ấu trùng giun chỉ W. bancrofti thường dao động từ 127–320 µm chiều dài và 4–10 µm chiều rộng.
Chuong3-7-cau3,3. Loài muỗi nào sau đây là vecteur của bệnh giun chỉ Wuchereria bancrofti.,"Aedes, Mansoni, Anopheles","Anopheles, Aedes, Culex","Mansoni, muỗi cát, Culex","Anopheles, muỗi cát, Aedes","Mansoni, Culex, Aedes",B,"Muỗi Anopheles, Aedes và Culex là các vectơ truyền bệnh giun chỉ Wuchereria bancrofti."
Chuong3-7-cau4,4. Giun chỉ ký sinh ở hệ bạch huyết và đẻ ra ấu trùng.,Đúng,Sai,,,,A,Giun chỉ ký sinh ở hệ bạch huyết và là loài đẻ ấu trùng (microfilaria).
Chuong3-7-cau5,5. Xét nghiệm tìm ấu trùng giun chỉ nên lấy máu vào giờ nào sau đây trong ngày.,1 - 5 giờ,6 - 12 giờ,13 - 17 giờ,18 - 20 giờ,21 - 24 giờ,E,"Ấu trùng giun chỉ W. bancrofti có tính chu kỳ về đêm, nên lấy máu vào ban đêm (thường là 21-24 giờ)."
Chuong3-7-cau6,"6. Trong cơ thể vecteur, ấu trùng giun chỉ lột xác bao nhiêu lần.",1 lần,2 lần,3 lần,4 lần,5 lần,B,"Ấu trùng giun chỉ lột xác 2 lần trong cơ thể muỗi, từ L1 sang L3 (thể gây nhiễm)."
Chuong3-7-cau7,7. Ấu trùng giun chỉ tập trung ở đâu trong cơ thể muỗi trước khi lên vòi muỗi.,Dạ dày,Tuyến nước bọt,Cơ ngực,Cơ chân,Gan,C,Ấu trùng L3 phát triển ở cơ ngực muỗi và sau đó di chuyển lên vòi muỗi để lây nhiễm.
Chuong3-7-cau8,8. Thời gian ấu trùng giun chỉ phát triển trong cơ thể muỗi.,1 - 3 ngày,4 - 7 ngày,8 - 35 ngày,36 - 60 ngày,"8 - 35 ngày phụ thuộc nhiệt độ, độ ẩm môi trường.",E,"Thời gian ấu trùng phát triển trong cơ thể muỗi (từ L1 đến L3) thường là 8–35 ngày, phụ thuộc vào nhiệt độ và độ ẩm môi trường."
Chuong3-7-cau9,9. Thời gian để ấu trùng giun chỉ phát triển thành con trưởng thành trong cơ thể người.,1 - 2 tháng,2 - 3 tháng,3 - 18 tháng,18 - 24 tháng,Trên 24 tháng,C,Thời gian để ấu trùng L3 phát triển thành giun trưởng thành và bắt đầu đẻ ấu trùng trong cơ thể người là khoảng 3–18 tháng.
Chuong3-7-cau10,10. Vật chủ chính của giun chỉ là.,Người,Muỗi,Khỉ,Chó,Lợn,A,Người là vật chủ chính (vĩnh viễn) của giun chỉ bạch huyết.
