id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-3-cau221,221. Giun lươn (Strongyloides stercoralis) sống ở,Ký sinh trong cơ thể người,Sống tự do không ký sinh ở ngoại cảnh,Sống trong môi trường nước,Cả A và B,,D,Giun lươn có chu trình đời sống kép: ký sinh trong người và sống tự do ở ngoại cảnh.
Chuong3-3-cau222,222. Ấu trùng giun lươn (Strongyloides stercoralis),Có thực quản phình,Có thực quản hình ống,Có dạng hình trụ,Cả A và B,,D,Ấu trùng giun lươn có hai dạng là thực quản phình (Rhabditiform) và thực quản hình ống (Filariform).
Chuong3-3-cau223,223. Trứng giun lươn (Strongyloides stercoralis) có đặc điểm,"Hình bầu dục, vỏ mỏng, trong suốt","Hình cầu, vỏ mỏng","Hình tròn, màu trắng đục","Hình bầu dục, màu vàng nhạt",,A,"Trứng giun lươn (nếu thấy) có vỏ mỏng, trong suốt, hình bầu dục."
Chuong3-3-cau224,224.Ấu trùng giun lươn (Strongyloides stercoralis) có thể thực hiện chu trình phát triển theo,Chu trình trực tiếp,Chu trình gián tiếp,Chu trình tự nhiễm,"Tất cả A, B và C",,D,"Chu trình phát triển của giun lươn bao gồm chu trình trực tiếp, gián tiếp và tự nhiễm."
Chuong3-3-cau225,"225. Giun lươn (Strongyloides stercoralis) sau khi thụ tinh, giun đực chết và bị tống ra ngoài qua",Phân của người bệnh,Da của người bệnh,Nước tiểu của người bệnh,Đàm người bệnh,,A,Giun đực giun lươn chết sau khi thụ tinh và bị tống ra ngoài qua phân.
Chuong3-3-cau226,216. Giun lươn (Strongyloides stercoralis) đẻ trứng ở,Niêm mạc hậu môn,Niêm mạc ruột,Tá tràng,"Tất cả A, B và C",,B,Giun lươn cái ký sinh đẻ trứng trong niêm mạc ruột non.
Chuong3-3-cau227,227. Chu trình phát triển gián tiếp của giun lươn (Strongyloides stercoralis) được thực hiện khi,"Điều kiện khí hậu thuận lợi, nhiệt độ cao","Điều kiện khí hậu bất thuận lợi, nhiệt độ thấp",Ấu trùng thực quản hình ống theo phân ra ngoài,Cả B và C,,A,"Chu trình gián tiếp (tạo giun tự do ở ngoại cảnh) xảy ra khi điều kiện môi trường thuận lợi (nóng, ẩm)."
Chuong3-3-cau228,228. Chu trình tự nhiễm giun lươn (Strongyloides stercoralis) quan trọng vì,Gây thiếu máu,Suy tim,Người bệnh luôn mang bệnh mặc dù đã cắt đứt nguồn nhiễm từ bên ngoài,Sa trực tràng,,C,Chu trình tự nhiễm cho phép giun lươn tồn tại và gây bệnh mạn tính trong cơ thể lâu dài.
Chuong3-3-cau229,229. Người mắc bệnh giun lươn (Strongyloides stercoralis) do,Ấu trùng xâm nhập qua da,Tự nhiễm ấu trùng trong ruột,Muỗi truyền ấu trùng khi hút máu,Tất cả A và B,,D,Nhiễm do ấu trùng giai đoạn 3 (L3) xâm nhập qua da (A) hoặc do tự nhiễm ấu trùng trong ruột (B).
Chuong3-3-cau230,230. Biểu hiện triệu chứng lâm sàng chính của giun lươn (Strongyloides stercoralis),"Viêm tá tràng, tiêu chảy phân lỏng kéo dài","Hội chứng lỵ, thiếu máu","Viêm tá tràng, thiếu máu","Thiếu máu, sa trực tràng",,A,Biểu hiện chính là viêm tá tràng và tiêu chảy phân lỏng kéo dài.
Chuong3-3-cau231,231. Ký chủ vĩnh viễn của giun lươn (Strongyloides stercoralis) là,"Người, chó, mèo","Người, heo, chuột",Người là ký chủ vĩnh viễn duy nhất,Động vật ngậm nhấm,,A,"S. stercoralis ký sinh ở nhiều loài hữu nhũ, bao gồm người, chó, mèo."
Chuong3-3-cau232,232. Kỹ thuật tập trung ấu trùng giun lươn(Strongyloides stercoralis) theo phương pháp,Willis,Baermann,Grahan,Knott,,B,Kỹ thuật Baermann được sử dụng để tập trung ấu trùng giun lươn (dựa trên hướng động).
Chuong3-3-cau277,277. Loài giun lươn não (Angiostronglylus spp) gây bệnh ở người,Angiostronglylus cantonensis,Angiostronglylus costaricensis,Cả A và B,"Tất cả A, B và C sai",,C,Angiostronglylus cantonensis và A. costaricensis là hai loài chính gây bệnh ở người.
Chuong3-3-cau278,278. Người nhiễm giun lươn não (Angiostronglylus spp) do,Muỗi truyền,Ăn phải ấu trùng trong ốc hoặc rau hoặc vật chủ chứa,Chuột truyền,"Tất cả A, B và C",,B,"Lây nhiễm do nuốt phải ấu trùng L3 trong ốc hoặc vật chủ chứa (như cua, tôm) hoặc rau bị nhiễm ấu trùng."
Chuong3-3-cau279,"279. Ở người, giun lươn não (Angiostronglylus spp) vào não và gây",Viêm màng não tang bạch cầu tái toan,"Đau đầu dữ dội, kèm nôn av2 buồn nôn, cứng gáy","Co giật, liệt nhẹ, song thị","Tất cả A, B và C",,D,"Giun lươn não gây viêm màng não tăng bạch cầu ái toan, kèm các triệu chứng như đau đầu, nôn, cứng gáy."
Chuong3-3-cau280,280. Trong chẩn đoán xác định giun lươnnão (Angiostronglylus spp) thì xét nghiệm nào quyết định,Lâm sàng,Bạch cầu ái toan tang,Xét ngiệm tìm thấy giun non hoặc ấu trùng giun trong dịch não tùy,"Tất cả A, B và C",,C,Chẩn đoán xác định là tìm thấy giun non hoặc ấu trùng trong dịch não tủy.
Chuong3-3-cau281,281. Trong chu trình phát triển của giun lươnnão (Angiostronglylus spp) thì chuột là vật chủ,Vật chủ chính,Vật chủ trung gian,Không phải là vật chủ của giun lươnnão (Angiostronglylus spp),Cả A và B,,A,Chuột là vật chủ chính (vĩnh viễn) của giun lươn não.
