id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-6-cau233,233. Vị trí ký sinh bình thường của giun xoắn (Trichinella spiralis),"Con trưởng thành ở ruột non, ấu trùng sống tự do ngoài đất","Con trưởng thành ở ruột già, ấu trùng sống tự do ngoài đất","Con trưởng thành ở ruột non, ấu trùng hóa nang ở cơ vân","Con trưởng thành ở ruột già, trứng được đẻ ở rỉa hậu môn",,C,"Giun trưởng thành ký sinh ở ruột non, ấu trùng hóa nang ở cơ vân."
Chuong3-6-cau234,234.Giun xoắn (Trichinella spiralis),"Đẻ trứng có sẵn ấu trùng bên trong trứng, trứng theo phân ra ngoài","Đẻ trứng ở ruột non, trứng nở ra ấu trùng ở ruột non","Không đẻ trứng, chỉ đẻ ra ấu trùng","Không đẻ trứng, chỉ đẻ ra phôi",,C,Giun xoắn là loài đẻ ấu trùng (không đẻ trứng).
Chuong3-6-cau235,235.Giun xoắn (Trichinella spiralis) trưởng thành,Sẽ bị hóa vôi sau khoảng 6 tháng tại nơi ký sinh,Sống ở ruột non từ tá tràng đến manh tràng của ký chủ,Sauk hi giao hợp con cái bị tống ra ngoài,"Tất cả A, B và C",,B,Giun trưởng thành sống ở ruột non (từ tá tràng đến manh tràng) của ký chủ.
Chuong3-6-cau236,236. Ấu trùng giun xoắn (Trichinella spiralis),Được đẻ ra từ giun cái ở ruột non và vào máu đến các cơ vân,"Được phóng thích từ các nang ở ruột non, vào máu đến các cơ vân","Được nở từ trứng ở ngoại cảnh, xâm nhập qua da đến các cơ vân","Được đẻ từ giun cái sống tự do ở đất, xâm nhập qua da đến các cơ vân",,A,Ấu trùng được giun cái đẻ ra ở ruột non và theo máu đến các cơ vân (để hóa nang).
Chuong3-6-cau237,237. Người mắc bệnh giun xoắn (Trichinella spiralis) do,Ăn rau sống có chứa ấu trùng,Ăn rau sống có trứng đã có ấu trùng trong trứng,Ăn thịt heo chứa ấu trùng còn sống,Ấu trùng xâm nhập qua da mõng,,C,Nhiễm do ăn thịt heo hoặc thịt thú chứa ấu trùng giun xoắn còn sống/tái.
Chuong3-6-cau238,238. Ký chủ của giun xoắn (Trichinella spiralis),"Người, mèo, heo, chó","Ruồi, muỗi","Chí, rận","Tất cả A, B và C",,A,"Giun xoắn ký sinh ở nhiều loài động vật có vú, bao gồm người, mèo, heo, chó."
Chuong3-6-cau239,239. Biểu hiện lâm sàng tương ứng giai đoạn phát triển của giun xoắn (Trichinella spiralis),Sốt- đau cơ- suy hô hấp,Tiêu chảy- đau cơ- suy kiệt,Phù- tiêu chảy- sốt,Đau cơ- sốt- phù,,D,"Các triệu chứng chính của bệnh giun xoắn là đau cơ, sốt và phù."
Chuong3-6-cau240,240. Giun xoắn (Trichinella spiralis) có kích thước,"Nhỏ, chiều dài khoảng 1cm, mắt thường có thể nhìn thấy rõ","Nhỏ, chiều dài khoảng 1.3 mm, mắt thường khó nhìn thấy","Trung bình, có chiều dài từ 2- 3 cm","Lớn, có chiều dài trên 5cm",,B,"Giun xoắn trưởng thành có kích thước rất nhỏ (khoảng 1.3mm), mắt thường khó nhìn thấy."
Chuong3-6-cau241,241. Vòng đời của giunxoắn (Trichinella spiralis) cần,Hai ký chủ trung gian. heo và chuột,Không cần ký chủ trung gian,Ký chủ chính là heo,Cả B và C,,B,"Vòng đời giun xoắn là chu trình trực tiếp, không cần ký chủ trung gian."
Chuong3-6-cau242,242.Giun xoắn (Trichinella spiralis) đẻ,"Trứng, được thải ra theo môi trường phân",Ấu trùng được thải ra theo môi trường  phân,"Trứng, nở ra ấu trùng và được thải ra theo môi trường phân","Ấu trùng, ký sinh trong mô",,D,"Giun xoắn đẻ ấu trùng, ấu trùng này ký sinh trong mô cơ."
Chuong3-6-cau243,243.Trichinella spiralis,Chỉ giai đoạn ấu trùng mới ký sinh ở người,Chỉ có giai đoạn trưởng thành mới ký sinh ở người,Cả ấu trùng và trưởng thành đều ký sinh ở người và ở heo,Giai đoạn ấu trùng được thải ra ngoài môi trường,,C,Cả giun trưởng thành (ở ruột non) và ấu trùng (ở cơ vân) đều ký sinh ở người và ở heo.
Chuong3-6-cau244,"244. Trong cơ thể người,giunxoắn (Trichinella spiralis) trưởng thành ký sinh ở",Cơ vân,Ruột non,Ruột già,Máu,,B,Giun xoắn trưởng thành ký sinh ở ruột non.
Chuong3-6-cau245,245. Vị trí của người trong chu trình phát triển của giunxoắn (Trichinella spiralis),Ký chủ trung gian,Ký chủ vĩnh viễn,Ngõ cụt ký sinh,"Tất cả A, B và C",,C,Người được coi là ngõ cụt ký sinh vì ấu trùng hóa nang trong cơ người không lây nhiễm tiếp được.
Chuong3-6-cau246,"246. Giunxoắn (Trichinella spiralis) phổ biến khắp thế giới, nhưng thường gặp ở","Châu Á, Đông Nam Á",Châu Phi và Trung Đông,Châu Âu và Châu Mỹ,Châu Úc,,C,Giun xoắn thường gặp ở Châu Âu và Châu Mỹ (các vùng có tập quán ăn thịt tái).
Chuong3-6-cau247,247. Giunxoắn (Trichinella spiralis) có thể gây dịch ở một vùng do,Bệnh lan truyền nhanh qua nước bị nhiễm mầm bệnh,Có nhiều động vật mắc bệnh và người dân có tập quán ăn thịt tái sống,Bọ chét chuột cắn và truyền bệnh,Dùng phân heo bón hoa màu làm ô nhiễm môi trường,,B,Gây dịch do tập quán ăn thịt tái sống từ động vật mắc bệnh.
Chuong3-6-cau248,"248. Ở Việt Nam, có một ổ dịch giun xoắn (Trichinella spiralis) ở",Quảng Ninh,Bắc Kạn,Lai Châu,Quảng Trị,,[Không tìm thấy],[Không tìm thấy]
Chuong3-6-cau249,249. Triệu chứng lâm sàng của bệnh giunxoắn (Trichinella spiralis) chủ yếu là do,"Giun trưởng thành ký sinh ở ruột, gây rối loạn tiêu hóa",Giun trưởng thành di chuyển trong các cơ vân,"Ấu trùng ký sinh trong niêm mạc ruột, gây viêm ruột",Ấu trùng di chuyển trong các cơ,,D,"Triệu chứng lâm sàng chủ yếu do ấu trùng di chuyển trong các cơ (gây viêm cơ, đau cơ, phù)."
Chuong3-6-cau250,250. Chẩn đoán xác định giunxoắn (Trichinella spiralis) bằng kỹ thuật,Soi phân tìm trứng,Sinh thiết mô tìm ấu trùng,Miễn dịch tìm kháng thể,Cả B và C,,D,Chẩn đoán xác định dựa vào sinh thiết mô tìm ấu trùng hoặc miễn dịch tìm kháng thể.
Chuong3-6-cau251,251. BIện pháp phòng bệnh giunxoắn (Trichinella spiralis),"Rửa tay trước khi ăn, sau khi đi tiêu",Không ăn thịt tái sống,"Vệ sinh môi trường, quản lý phân, nước, rác",Điều trị hàng loạt,,B,Biện pháp phòng bệnh quan trọng nhất là không ăn thịt tái sống.
Chuong3-6-cau252,252. Loại giun sán nào có vòng đời phát triển theo sơ đồ. Người – Ngoại cảnh – Người?,Trichinella spiralis,Enterobius vermicularis,Wuchereria bancrofti,Schistosoma mansoni,,B,"Giun kim (Enterobius vermicularis) có chu trình trực tiếp, trứng cần phát triển ở ngoại cảnh trước khi lây nhiễm lại."
Chuong3-6-cau253,253. Xét nghiệm thịt lợn có thể tìm thấy mầm bệnh ký sinh trùng nào? GIUN XOẮN,Trichinella spiralis,Taenia solium,Toxoplasma gondii,Fasciola hepatica,,A,Giun xoắn (Trichinella spiralis) ký sinh trong cơ (thịt) lợn.
Chuong3-6-cau254,254 . Loài kst có ổ bệnh tự nhiên là,Sán lá gan nhỏ,10,*Giun xoắn,Sán dây lợn,Giun chỉ,C,"Giun xoắn có ổ bệnh tự nhiên trong động vật (heo, chuột...)."
