id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong3-3-cau1,1. Bệnh phẩm xét nghiệm xác định giun móc.,Phân.,Máu,X quang phổi.,Nước tiểu.,Đàm.,A,Chẩn đoán xác định bệnh giun móc bằng xét nghiệm phân tìm trứng.
Chuong3-3-cau2,2. Khả năng gây tiêu hao máu ký chủ của mỗi giun trong một ngày.,Giun móc nhiều hơn giun mỏ.,Giun móc ít hơn giun mỏ.,Giun móc bằng như giun mỏ..,"Giun móc. 0,02ml/con/ngày.","Giun mỏ 0,2ml/con/ngày.",A,Giun móc (A. duodenale) gây tiêu hao máu nhiều hơn giun mỏ (N. americanus).
Chuong3-3-cau3,3.Người là ký chủ vĩnh viễn của.,Ancylostoma duodenale và Necator americanus,Ancylostoma braziliense và Necator americanus.,Ancylostoma caninum và Necator americanus,Ancylostoma braziliense và A. duodenale,Ancylostoma braziliense và  Ancylostoma caninum .,A,Ancylostoma duodenale và Necator americanus là hai loài giun móc/mỏ ký sinh trưởng thành ở người.
Chuong3-3-cau4,4. Điều kiện thuận lợi để ấu trùng giun móc tồn tại và phát triển ở ngoại cảnh.,Môi trường nước như ao hồ.,"Đất xốp, cát, nhiệt độ cao, ẩm.","Môi trường nước, nhiệt độ từ 250C đến 300C.",Bóng râm mát.,Vùng nhiều mưa.,B,"Ấu trùng giun móc tồn tại và phát triển tốt nhất trong đất xốp, cát, ẩm và nhiệt độ thích hợp."
Chuong3-3-cau5,5. Yếu tố dịch tễ thuận lợi cho sự tăng tỉ lệ nhiễm giun móc.,Không có công trình vệ sinh hiện đại,Thói quen đi chân đất của người dân.,Tỷ lệ nhiễm giun tóc cao.,Vùng đất  sét cứng,Thói quen ăn uống,B,"Giun móc lây nhiễm qua da, do đó thói quen đi chân đất là yếu tố dịch tễ thuận lợi hàng đầu."
Chuong3-3-cau6,"6. Ở Việt Nam, vùng có tỷ lệ nhiễm giun móc cao thường là.","Nơi có thói quen sử dụng cầu tiêu, ao cá.","Nông trường mía, cao su.","Các thành phố, đô thị.",Cư dân sống vùng sông nước.,Tỷ lệ nhiễm cao ở ở tất cả các tỉnh thành.,B,"Tỷ lệ nhiễm giun móc cao ở các vùng nông trường mía, cao su do điều kiện lao động và đất ẩm."
Chuong3-3-cau7,7. Trình tự biểu hiện lâm sàng tương ứng với giai đoạn phát triển của giun móc.,Ấu trùng xâm nhập qua da gây nên viêm ngứa da tại nơi xâm nhập. Ấu trùng lên phổi gây nên hội chứng Loeffler. Giun ở tá tràng gây viêm tá tràng và thiếu máu.,Ấu trùng xâm nhập qua da không biểu hiện lâm sàng vì quá nhỏ. Ấu trùng lên phổi gây nên hội chứng Loeffler. Giun ở tá tràng gây viêm tá tràng và thiếu máu.,Ấu trùng xâm nhập qua da không biểu hiện lâm sàng vì quá nhỏ. Ấu trùng lên phổi không có triệu chứng lâm sàng vì quá ít. Giun ở tá tràng gây viêm tá tràng và thiếu máu.,Ấu trùng xâm nhập qua da gây nên viêm ngứa da tại nơi xâm nhập. Ấu trùng lên phổi gây nên hội chứng Loeffler. Giun ở ruột gây tắc ruột.,Ấu trùng xâm nhập qua da gây nên viêm ngứa da tại nơi xâm nhập. Ấu trùng lên tim gây suy tim. Giun ở tá tràng gây viêm tá tràng và thiếu máu.,A,"Ấu trùng xâm nhập qua da gây viêm ngứa da, lên phổi gây hội chứng Loeffler, và giun ở tá tràng gây viêm tá tràng và thiếu máu."
Chuong3-3-cau8,8. Ấu trùng thực quản phình của giun móc được hình thành.,Ở ruột non từ trứng do giun cái đẻ trong ruột.,Do giun cái đẻ ra ấu trùng ở ruột non.,Từ trứng giun móc ở ngoại cảnh.,"Ở ruột non, từ trứng do người nuốt vào.",Từ ấu trừng thực quản hình ống ở ngoại cảnh.,C,Ấu trùng thực quản phình (ấu trùng I) được hình thành từ trứng giun móc ở ngoại cảnh (đất).
Chuong3-3-cau9,"9. Kết quả xét nghiệm soi phân tươi trả lời. ""Tìm thấy ấu trùng I của giun móc"", kết quả này .",Không chấp nhận vì không bao giờ thấy ấu trừng giun móc trong bệnh phẩm soi tươi.,Có thể chấp nhận nếu phân đã để trên 24 giờ mới xét nghiệm và xét nghiệm viên rất có kinh nghiệm.,Đúng vì ấu trùng I giun móc bình thường được hình thành ở ruột non.,Sai vì ấu trùng I giun móc chỉ lưu thông trong máu ký chủ.,Đúng vì trong khi thực tập có quan sát thấy ấu trùng I trong tiêu bản phân.,A,"Không chấp nhận vì giun móc đẻ trứng, trứng chỉ nở thành ấu trùng I khi phân đã ra ngoại cảnh một thời gian."
Chuong3-3-cau10,10. Tác hại nghiêm trọng của bệnh giun móc nặng và kéo dài.,Thiếu máu nhược sắc,Thiếu máu ưu sắc.,Viêm tá tràng đưa đến loét tá tràng.,Viêm tá tràng đưa đến ung thư tá tràng,Suy tim không thể bồi hoàn.,A,Tác hại nghiêm trọng là thiếu máu nhược sắc do mất máu mạn tính.
