id,cau,optionA,optionB,optionC,optionD,optionE,dapan,giaithich
Chuong2-2-cau1,1. Entamoeba histolytica là một nguyên sinh động vật thuộc lớp.,Trùng chân giả,Trùng roi đường máu,Trùng roi đường ruột,Trùng long,,A,Entamoeba histolytica thuộc lớp Trùng chân giả (Rhizopoda).
Chuong2-2-cau2,2. Amip là tên gọi chung của.,Lớp trùng chân giả,Entamoeba histolytica,Entamoeba histolytica và Entamoeba histolytica,Nguyên sinh động vật,,A,Amip là tên gọi chung của lớp Trùng chân giả.
Chuong2-2-cau3,3. Các Amip không gây bệnh cũng cần được quan tâm vì.,Chúng có hình dạng giống như Amip gây bệnh,Chúng sẽ tác động phối hợp với Amip gây bệnh khi có điều kiện thuận lợi,Chúng nói lên tình hình môi sinh bị ô nhiễm,Cả A và C,,D,Amip không gây bệnh có hình dạng giống amip gây bệnh và nói lên tình hình môi sinh bị ô nhiễm.
Chuong2-2-cau4,4. Về hình thể Entamoeba histolytica ở dạng.,"Thể tư dưỡng, hoạt động và thể bào nang",Thể tư dưỡng không hoạt động,Thể bào nang không hoạt động,Cả B và C,,A,E. histolytica tồn tại ở hai dạng chính là thể hoạt động (tư dưỡng) và bào nang.
Chuong2-2-cau5,"5. Nhân thể giữa nhân, tế bào chất mịn, đôi khi thấy được hồng cầu là hình ảnh đặc sắc của.",Entamoeba coli,Entamoeba histolytica,Entamoeba gingivalis,Iodamoeba butschii,,B,Khả năng ăn hồng cầu là đặc điểm của thể hoạt động Entamoeba histolytica.
Chuong2-2-cau6,6. Người ta bị mắc bệnh Entamoeba histolytica vì nuốt phải.,Thể hoạt động,Thể hoạt động và bào nang,Thể bào nang,Thể hoạt động phối hợp với vi trùng,,C,Bệnh lỵ amip lây truyền do nuốt phải bào nang.
Chuong2-2-cau7,"7. Entamoeba histolytica ở thể tư dưỡng, hoạt động tồn tại dưới dạng.",Hoạt động ăn hồng cầu (kiểu histolytica),Hoạt động không ăn hồng cầu (minuta hay tiểu thể),Hoạt động ăn bạch cầu,Cả A và B,,D,Thể hoạt động của E. histolytica có thể là minuta (không ăn HC) hoặc histolytica (ăn HC).
Chuong2-2-cau8,8. Thể hoạt động của Entamoeba histolytica dễ chết khi.,Sống trong long ruột,Ra khỏi ký chủ hay ra môi trường nuôi cấy,Ăn hồng cầu,"Tất cả A, B và C",,B,Thể hoạt động rất nhạy cảm và dễ bị hủy hoại ngoài môi trường cơ thể.
Chuong2-2-cau9,9. Người nào chứa bào nang Entamoeba histolytica là người.,Đang bị mắc bệnh,Không mắc bệnh,Sẽ mắc bệnh khi KST gặp điều kiện thuận lợi,Sẽ mắc bệnh khi số lượng bào nang có rất nhiều,,B,"Người chứa bào nang thường là người lành mang mầm bệnh, không có biểu hiện bệnh lý."
Chuong2-2-cau10,"10. Trong cơ thể người, Amip vừa có chu trình gây bệnh, vừa có chu trình không gây bệnh là.",Entamoeba histolytica,Entamoeba coli,Entamoeba gingivalis,Iodamoeba butschii,,A,Entamoeba histolytica có chu trình kép (sinh bệnh và không sinh bệnh).
Chuong2-2-cau11,11. Chu trình phát triển của Entamoeba histolytica theo kiểu.,Chu trình gây bệnh và không gây bệnh,Chu trình gây bệnh,Chu trình không gây bệnh,"Tất cả A, B và C sai",,A,Chu trình của E. histolytica có cả giai đoạn gây bệnh (histolytica) và không gây bệnh (minuta).
